approximate_timing,mean,maxVal,diff,std,var,skewness,kurtosis_,median_abs_deviation_,max_deviation
0:36.9 - 0:38.2,-0.2661895751953125,23.0,23.266189575195312,4.255416690600731,18.108571210643277,-0.21941009694239447,2.9002884491314056,0.0,23.733810424804688
0:38.2 - 0:39.6,0.8731155395507812,32767.0,32766.12688446045,706.3150483861901,498880.94757678616,1.1648698209032333,1501.5651525498852,0.0,32768.87311553955
0:39.6 - 0:41.0,-0.259429931640625,39.0,39.259429931640625,6.13220435418034,37.603930241428316,-0.05400376486241637,3.0702407199046027,0.0,39.259429931640625
0:41.0 - 0:42.3,-0.26718902587890625,73.0,73.2671890258789,11.70722994086216,137.0592328882194,-0.051409389775241975,4.255699784631465,0.0,78.7328109741211
0:42.3 - 0:43.7,-0.26396942138671875,66.0,66.26396942138672,10.518628234335997,110.64153993217042,-0.08732165217131346,3.1454833256122354,0.0,66.26396942138672
0:43.7 - 0:45.1,-0.26364898681640625,48.0,48.263648986816406,8.326935854967706,69.33786073274678,-0.06982574835351275,3.709449547673178,0.0,49.736351013183594
0:45.1 - 0:46.4,-0.26849365234375,31.0,31.26849365234375,5.6419592779115355,31.83170449361205,-0.04748862520889407,2.975477540065917,0.0,36.73150634765625
0:46.4 - 0:47.8,0.4192962646484375,32767.0,32766.58070373535,728.8710633752211,531253.0270257256,-1.1064384198261,1383.091174112439,0.0,32768.41929626465
0:47.8 - 0:49.2,-0.22747039794921875,591.0,591.2274703979492,14.582349085867467,212.64490486209976,3.9793087293311107,438.82145482400506,0.0,591.2274703979492
0:49.2 - 0:50.5,-0.26154327392578125,97.0,97.26154327392578,8.952955009628855,80.1554034044384,0.3102948830113465,10.195542857245359,0.0,97.26154327392578
0:50.5 - 0:51.9,-0.26903533935546875,49.0,49.26903533935547,7.748569482916705,60.040329031588044,-0.11166448878234694,3.2344502306266794,0.0,49.26903533935547
0:51.9 - 0:53.2,-0.213134765625,95.0,95.213134765625,9.781972983334292,95.68699544668198,0.25964220127177534,12.258314814583128,0.0,95.213134765625
0:53.2 - 0:54.6,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
0:54.6 - 0:56.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
0:56.0 - 0:57.3,-0.24974822998046875,15.0,15.249748229980469,2.64697584183652,7.006481107266154,-0.23422814134057704,3.3180947353088834,0.0,15.249748229980469
0:57.3 - 0:58.7,-0.25229644775390625,16.0,16.252296447753906,2.8094110217395842,7.892790289071854,-0.2638113517924995,2.941806721333342,0.0,16.747703552246094
0:58.7 - 1:0.1,-0.25373077392578125,15.0,15.253730773925781,2.735779041943205,7.48448696633568,-0.41252625671150894,3.7479631167832004,0.0,19.74626922607422
1:0.1 - 1:1.4,-0.109954833984375,29571.0,29571.109954833984,848.788068496097,720441.1852213352,2.3212344163707357,544.9147750826754,0.0,29571.890045166016
1:1.4 - 1:2.8,-0.25496673583984375,9.0,9.254966735839844,1.870254139190218,3.497850545158144,-0.48700404015334553,3.154643780735352,0.0,11.745033264160156
1:2.8 - 1:4.2,-0.25295257568359375,33.0,33.252952575683594,3.2764454656646684,10.735094889474567,0.11805168975572143,25.4051315508329,0.0,33.252952575683594
1:4.2 - 1:5.5,-0.25189208984375,121.0,121.25189208984375,3.2033721450502006,10.261593099683523,-1.2773022331131654,294.8507494533431,0.0,122.74810791015625
1:5.5 - 1:6.9,-0.0684661865234375,7.0,7.0684661865234375,0.6858088243873983,0.47033374360762537,-1.9782086051112724,22.598411796450222,0.0,8.931533813476562
1:6.9 - 1:8.3,-0.235504150390625,16.0,16.235504150390625,2.962401283500385,8.775821364484727,-0.22135227905757462,3.4824965000625294,0.0,17.764495849609375
1:8.3 - 1:9.6,-0.25443267822265625,309.0,309.25443267822266,21.916363641682427,480.3269952744595,0.14575567089539948,52.975839411375766,0.0,309.25443267822266
1:9.6 - 1:11.0,-0.255035400390625,21.0,21.255035400390625,3.691681823208144,13.628514683805406,-0.20677278434087146,3.129550804418516,0.0,21.255035400390625
1:11.0 - 1:12.4,1.6729660034179688,32767.0,32765.327033996582,757.9036353397307,574417.9204611795,1.3504568286150556,1196.1167711161338,0.0,32769.67296600342
1:12.4 - 1:13.7,-0.2536163330078125,34.0,34.25361633300781,6.162123480730038,37.97176579176448,-0.0790133731935958,3.1496191596252574,0.0,46.74638366699219
1:13.7 - 1:15.1,-0.261688232421875,32.0,32.261688232421875,6.603401009262507,43.6049048891291,-0.1241232446673932,2.8267224380619007,0.0,38.738311767578125
1:15.1 - 1:16.5,-0.25081634521484375,41.0,41.250816345214844,6.061864076371777,36.74619608040666,-0.0718548564576043,3.534848893851872,0.0,42.749183654785156
1:16.5 - 1:17.8,-0.2549896240234375,29.0,29.254989624023438,5.154402883514801,26.5678690855857,-0.1500032027198315,2.8537672204297344,0.0,30.745010375976562
1:17.8 - 1:19.2,-0.21456146240234375,102.0,102.21456146240234,7.5784969343291895,57.433615783636924,0.4382253471040485,33.448595990275884,0.0,102.78543853759766
1:19.2 - 1:20.6,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
1:20.6 - 1:21.9,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
1:21.9 - 1:23.3,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
1:23.3 - 1:24.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
1:24.7 - 1:26.0,-0.2728424072265625,10.0,10.272842407226562,1.568602851763633,2.460514906561002,-0.9818837414544271,5.08429878377375,0.0,10.727157592773438
1:26.0 - 1:27.4,-0.36669158935546875,18.0,18.36669158935547,2.0011263577502243,4.004506699682679,-0.34715950474466456,7.043240900722582,0.0,18.36669158935547
1:27.4 - 1:28.7,-0.366058349609375,11.0,11.366058349609375,1.7022434474562746,2.897632754407823,-0.531350986012377,2.8671815440046595,0.0,11.366058349609375
1:28.7 - 1:30.1,-0.551239013671875,32767.0,32767.551239013672,627.9904856105591,394372.05001738574,2.1833108099353016,1029.6083705601482,0.0,32767.551239013672
1:30.1 - 1:31.5,-0.36693572998046875,270.0,270.36693572998047,4.9952257068082755,24.952279861958232,5.6353418289282065,983.0925328035962,0.0,270.36693572998047
