approximate_timing,mean,max,diff,standard_deviation,variance,skewness,kurtosis,median_absolute,maximum_deviation,abs_mean,rms,peak_to_peak,prediction,label
1:50.0 - 1:51.5,37.1,12685.0,12647.9,2805.6,7871655.3,-0.1,1.1,1650.0,14395.1,2130.7,15.5,27043.0,0.110566854,0
1:51.5 - 1:52.9,39.1,20368.0,20328.9,3550.9,12608965.7,-0.1,3.0,1626.0,24273.1,2474.9,17.7,-20934.0,0.08959474,0
1:52.9 - 1:54.4,37.5,10603.0,10565.5,2723.7,7418344.8,-0.4,1.4,1562.0,13651.5,2054.4,16.6,24217.0,0.8856153,1
1:54.4 - 1:55.9,38.8,12159.0,12120.2,2878.9,8288119.4,-0.3,1.2,1662.0,14719.8,2173.6,14.6,26840.0,0.10795046,0
1:55.9 - 1:57.4,39.6,10674.0,10634.4,2135.8,4561436.7,-0.1,2.3,1130.0,13738.6,1552.9,24.1,24373.0,0.009684374,0
1:57.4 - 1:58.9,41.5,7718.0,7676.5,1372.2,1882823.4,-0.1,2.3,726.0,7735.5,998.8,28.5,15412.0,0.004635644,0
1:58.9 - 2:0.4,44.4,10459.0,10414.6,1681.6,2827808.0,0.1,3.3,837.0,12949.4,1192.5,26.3,23364.0,0.005921451,0
2:0.4 - 2:1.9,43.2,14495.0,14451.8,2333.1,5443407.8,0.1,2.1,1246.0,14451.8,1706.5,20.7,26766.0,0.020947127,0
2:1.9 - 2:3.3,39.0,9109.0,9070.0,1827.7,3340470.1,0.0,1.4,1044.0,9070.0,1372.1,24.2,17898.0,0.0015327914,0
2:3.3 - 2:4.8,39.8,8546.0,8506.2,1861.4,3464693.6,-0.1,1.7,1039.0,10865.8,1385.0,24.9,19372.0,0.0027802135,0
2:4.8 - 2:6.3,42.3,11321.0,11278.7,2287.0,5230593.7,-0.1,1.3,1327.0,11278.7,1725.7,18.7,21613.0,0.052542776,0
2:6.3 - 2:7.8,40.2,13371.0,13330.8,2736.2,7486655.8,0.0,1.2,1583.0,14643.2,2063.5,16.5,27974.0,0.011559952,0
2:7.8 - 2:9.3,40.8,14493.0,14452.2,3909.9,15286952.5,-0.2,0.9,2330.5,18879.8,2980.6,12.0,-32204.0,0.021697443,0
2:9.3 - 2:10.8,41.4,15698.0,15656.6,3624.9,13139708.8,-0.2,0.9,2153.0,17442.4,2770.6,14.1,-32437.0,0.02546958,0
2:10.8 - 2:12.3,40.4,19108.0,19067.6,3484.9,12144804.8,-0.2,2.3,1830.0,23407.4,2531.5,16.2,-23061.0,0.9038206,1
2:12.3 - 2:13.7,79.1,5761.0,5681.9,1143.9,1308552.0,-0.2,2.5,703.0,8140.1,874.1,26.7,13822.0,0.0052760383,0
2:13.7 - 2:15.2,90.2,3769.0,3678.8,1080.8,1168068.9,-0.1,-0.0,759.0,5765.2,878.9,27.0,9444.0,0.0009980296,0
2:15.2 - 2:16.7,87.2,21591.0,21503.8,1797.1,3229484.9,0.6,20.1,515.0,21503.8,979.4,35.1,-26132.0,0.85415226,1
2:16.7 - 2:18.2,44.4,26381.0,26336.6,6341.0,40208019.9,-0.4,3.6,1400.0,32812.4,3837.4,22.1,-6387.0,0.9426324,1
2:18.2 - 2:19.7,41.5,23840.0,23798.5,4955.6,24558100.1,-0.0,1.0,2890.0,23798.5,3748.1,9.5,-19219.0,0.78494114,1
2:19.7 - 2:21.2,40.5,24122.0,24081.5,5318.4,28284950.8,-0.0,0.9,3172.0,25121.5,4058.6,,-16333.0,0.06596094,0
2:21.2 - 2:22.7,39.6,22281.0,22241.4,5217.1,27218131.0,-0.1,0.9,3096.0,26576.6,3973.6,10.3,-16718.0,0.008033629,0
2:22.7 - 2:24.1,45.6,20586.0,20540.4,4197.6,17619471.4,-0.0,1.3,2404.0,20540.4,3153.5,2.8,-24807.0,0.044815794,0
2:24.1 - 2:25.6,38.1,23470.0,23431.9,4593.5,21100603.4,-0.0,2.0,2486.5,28904.1,3373.1,10.3,-13200.0,0.013510448,0
2:25.6 - 2:27.1,38.4,23949.0,23910.6,4805.4,23091823.5,0.0,1.7,2687.5,30090.4,3568.1,11.5,-11535.0,0.06113119,0
2:27.1 - 2:28.6,36.9,24665.0,24628.1,5451.3,29716812.7,-0.0,1.1,3216.0,31787.9,4142.1,10.5,-9120.0,0.07927387,0
2:28.6 - 2:30.1,47.8,21904.0,21856.2,3666.6,13444240.8,-0.0,2.2,2038.5,21856.2,2709.3,14.0,-22485.0,0.08706247,0
2:30.1 - 2:31.6,40.1,23186.0,23145.9,4324.7,18702843.2,0.0,1.3,2529.0,27279.1,3266.2,14.0,-15111.0,0.0032503542,0
2:31.6 - 2:33.1,46.7,22681.0,22634.3,3279.5,10755437.1,0.0,2.0,1814.0,25099.7,2424.8,16.7,-17802.0,0.079429686,0
2:33.1 - 2:34.5,40.6,11469.0,11428.4,1655.0,2739064.7,-0.0,3.1,877.0,11428.4,1197.1,25.9,22689.0,0.006151858,0
2:34.5 - 2:36.0,43.5,6093.0,6049.5,1138.4,1295941.6,-0.0,1.9,631.0,6605.5,842.5,30.1,12655.0,0.000701422,0
2:36.0 - 2:37.5,40.2,5362.0,5321.8,838.5,703063.4,0.0,1.8,472.0,5763.2,624.4,35.2,11085.0,0.0005790126,0
2:37.5 - 2:39.0,42.7,3424.0,3381.3,534.1,285213.9,-0.1,1.7,309.0,3841.7,403.4,41.8,7223.0,0.001305115,0
2:39.0 - 2:40.5,42.5,4045.0,4002.5,571.4,326549.9,-0.1,2.2,312.0,4002.5,422.6,42.0,7780.0,0.001305115,0
2:40.5 - 2:42.0,41.3,5113.0,5071.7,754.0,568562.7,0.0,2.8,383.0,5071.7,540.8,40.1,9389.0,0.002913692,0
2:42.0 - 2:43.5,41.7,4745.0,4703.3,921.2,848519.2,-0.0,1.3,527.0,4703.3,693.2,33.2,9264.0,0.000546334,0
2:43.5 - 2:44.9,43.6,4115.0,4071.4,669.7,448452.1,0.2,3.1,324.0,4071.4,472.7,42.4,7954.0,0.0027642497,0
2:44.9 - 2:46.4,42.2,4141.0,4098.8,621.2,385849.7,0.1,3.2,310.0,4098.8,441.7,43.6,8195.0,0.0027642497,0
2:46.4 - 2:47.9,42.9,3733.0,3690.1,484.5,234703.7,-0.2,3.8,247.0,3690.1,348.2,48.1,7355.0,0.0051342356,0
2:47.9 - 2:49.4,42.6,3028.0,2985.4,453.2,205362.9,-0.0,3.7,231.0,3203.6,324.0,48.7,6189.0,0.0027642497,0
2:49.4 - 2:50.9,39.8,29941.0,29901.2,2495.3,6226493.3,0.1,6.1,937.0,29901.2,1617.6,26.0,-15162.0,0.95217896,1
2:50.9 - 2:52.4,36.0,13184.0,13148.0,2223.0,4941765.0,0.1,3.1,950.0,13148.0,1520.1,24.9,23450.0,0.018283304,0
2:52.4 - 2:53.9,38.8,13786.0,13747.2,1813.9,3290237.8,0.3,7.3,519.0,13747.2,1066.6,37.9,26459.0,0.013289817,0
2:53.9 - 2:55.3,40.6,18545.0,18504.4,2214.9,4905603.7,-0.0,5.2,842.0,19345.6,1436.6,28.2,-27686.0,0.94493985,1
2:55.3 - 2:56.8,40.2,11750.0,11709.8,2108.0,4443695.7,0.0,4.1,731.0,12141.2,1333.8,30.6,23851.0,0.04913571,0
2:56.8 - 2:58.3,34.6,11558.0,11523.4,1540.1,2371978.5,0.1,7.7,485.0,11523.4,928.4,36.5,22213.0,0.0011003998,0
2:58.3 - 2:59.8,38.6,23597.0,23558.4,2604.3,6782429.7,0.0,3.6,1175.5,23558.4,1803.2,21.8,-22024.0,0.13626029,0
2:59.8 - 3:1.3,37.2,10389.0,10351.8,1897.7,3601407.8,0.3,3.2,802.5,11086.2,1284.5,26.8,21438.0,0.018807625,0
3:1.3 - 3:2.8,38.9,9100.0,9061.1,1822.7,3322184.5,-0.1,3.0,788.0,10396.9,1246.7,28.5,19458.0,0.7575091,1
3:2.8 - 3:4.3,32.4,26735.0,26702.6,2016.0,4064284.5,0.1,14.2,580.0,26702.6,1152.7,34.1,-20942.0,0.111307204,0
3:4.3 - 3:5.8,38.7,7790.0,7751.3,1023.0,1046489.1,0.1,6.6,357.0,7751.3,640.8,42.2,14562.0,0.0008162915,0
3:5.8 - 3:7.2,41.8,12162.0,12120.2,1579.6,2495144.8,0.2,4.7,691.0,12120.2,1078.8,29.3,23078.0,0.0047415667,0
3:7.2 - 3:8.7,29.0,9898.0,9869.0,1536.0,2359281.6,0.0,4.9,589.0,9869.0,998.6,32.9,18836.0,0.0006408087,0
3:8.7 - 3:10.2,36.7,24935.0,24898.3,2148.9,4617781.6,-0.1,13.6,657.0,24898.3,1246.5,33.2,-19493.0,0.8901413,1
3:10.2 - 3:11.7,35.6,11530.0,11494.4,1100.0,1209891.7,0.2,12.2,366.0,11494.4,663.0,41.9,21306.0,0.0011003998,0
3:11.7 - 3:13.2,32.1,9736.0,9703.9,1413.4,1997614.9,0.2,5.3,539.0,10429.1,915.9,34.3,20133.0,0.0013572689,0
3:13.2 - 3:14.7,36.5,26411.0,26374.5,3043.8,9264674.3,0.1,2.1,1742.0,26374.5,2267.4,21.0,-22235.0,0.9249819,1
3:14.7 - 3:16.2,34.2,9591.0,9556.8,2066.9,4271977.6,-0.1,0.8,1250.0,11286.2,1584.5,20.9,20843.0,0.040664904,0
3:16.2 - 3:17.6,30.1,24782.0,24751.9,2329.2,5424972.6,0.3,7.0,963.0,24751.9,1543.2,27.1,-22569.0,0.92884374,1
3:17.6 - 3:19.1,36.3,12968.0,12931.7,1072.8,1150867.7,-0.7,26.6,398.0,21467.3,660.5,40.0,-31137.0,0.0013670927,0
3:19.1 - 3:20.6,41.2,11409.0,11367.8,1601.6,2565024.1,0.1,5.5,628.0,11367.8,1048.1,31.1,21218.0,0.0039371345,0
3:20.6 - 3:22.1,35.0,30070.0,30035.0,1725.3,2976532.9,0.7,21.1,548.0,30035.0,1004.7,33.2,-18894.0,0.0025545706,0
3:22.1 - 3:23.6,39.7,18965.0,18925.3,2020.1,4080803.0,-0.1,6.6,819.0,19367.7,1332.1,29.0,-27243.0,0.118899405,0
